Crop,Stage,StartDay,EndDay,Task,Advice
Paddy,Germination,0,10,"Keep soil moist","Avoid waterlogging for first 10 days."
Paddy,Vegetative,11,30,"First fertilizer dose","Apply 50kg N/ha and maintain standing water depth of 2–3 cm."
Paddy,Tillering,31,60,"Weeding and pest observation","Perform mechanical weeding and look for leaf-folder or stem borer."
Paddy,Flowering,61,90,"Second fertilizer dose","Apply potash & phosphate; avoid irrigation during flowering."
Paddy,Harvest,110,130,"Drain water & harvest","Drain 10 days before harvest; harvest when 80% grains are golden."
Wheat,Sowing,0,5,"Prepare fine seed bed","Use clean seed & adequate moisture."
Wheat,Crown Root Initiation,20,25,"First irrigation","Maintain field moisture for healthy roots."
Wheat,Tillering,30,45,"Top-dressing fertilizer","Apply urea and weed control."
Wheat,Heading,70,85,"Irrigation & pest monitoring","Avoid moisture stress; check for rust diseases."
Wheat,Harvest,110,130,"Harvest crop","Harvest when grains are hard and golden yellow."
Maize,Germination,0,7,"Keep soil moist","Ensure even soil moisture."
Maize,Vegetative,8,35,"Apply nitrogen fertilizer","Top-dress urea at 2–3 leaf stage."
Maize,Tasseling,36,50,"Irrigation & pest control","Check for stem borer and aphids."
Maize,Silking,51,65,"Apply potassium & phosphorus","Support healthy cob formation."
Maize,Harvest,90,100,"Harvest mature cobs","Harvest when kernels are hard and dry."
Tomato,Sowing,0,10,"Prepare nursery trays","Use sterilized soil and maintain moisture."
Tomato,Transplanting,25,30,"Move seedlings to field","Plant seedlings in well-prepared beds."
Tomato,Vegetative Growth,31,50,"Apply fertilizer & irrigation","Balanced NPK and regular watering."
Tomato,Flowering,51,70,"Pest & disease monitoring","Monitor for blight and aphids."
Tomato,Fruiting,71,90,"Harvest ripe fruits","Pick fruits at full color for best quality."
Sugarcane,Planting,0,10,"Set cane cuttings","Use healthy setts and keep soil moist."
Sugarcane,Tillering,11,60,"First irrigation & fertilization","Apply NPK fertilizer and maintain soil moisture."
Sugarcane,Grand Growth,61,180,"Regular irrigation & weed control","Ensure proper irrigation schedule."
Sugarcane,Maturity,181,360,"Fertilizer & pest monitoring","Reduce N, monitor for borers."
Sugarcane,Harvest,361,400,"Harvest cane","Harvest when sucrose content is maximum."
Chickpea,Sowing,0,5,"Prepare field & sow seeds","Use certified seeds and maintain moisture."
Chickpea,Vegetative,6,30,"Weeding & fertilizer","Apply DAP and control weeds."
Chickpea,Flowering,31,50,"Pest monitoring","Look for pod borer and aphids."
Chickpea,Pod Filling,51,70,"Irrigation & fertilizer","Maintain soil moisture for good yield."
Chickpea,Harvest,90,100,"Harvest pods","Harvest when pods turn brown and dry."
Potato,Sowing,0,5,"Prepare seed tubers & beds","Plant healthy tubers."
Potato,Vegetative Growth,6,45,"Apply NPK fertilizer","Ensure adequate moisture."
Potato,Tuber Initiation,46,60,"Hilling & irrigation","Form soil mounds for tubers."
Potato,Tuber Bulking,61,90,"Fertilizer & pest control","Monitor for late blight."
Potato,Harvest,100,120,"Harvest tubers","Harvest when leaves turn yellow."
Cotton,Sowing,0,10,"Prepare soil & sow seeds","Use well-prepared beds."
Cotton,Vegetative Growth,11,40,"Fertilization & irrigation","Apply NPK fertilizers, maintain moisture, and ensure even spread."
Cotton,Square Formation,41,60,"Pest monitoring","Check for bollworm and aphids."
Cotton,Boll Formation,61,90,"Irrigation & fertilizer","Support boll development."
Cotton,Harvest,120,150,"Pick cotton bolls","Harvest when bolls open fully."
Groundnut,Sowing,0,5,"Prepare field & sow seeds","Maintain proper spacing."
Groundnut,Vegetative Growth,6,30,"Fertilizer & irrigation","Apply NPK and water regularly."
Groundnut,Flowering,31,50,"Pest monitoring","Check for leaf miner and aphids."
Groundnut,Pegging & Pod Formation,51,80,"Irrigation & fertilizer","Maintain soil moisture."
Groundnut,Harvest,90,110,"Harvest pods","Harvest when leaves yellow."
